text,labels
"<exercice>
  <consigne>
Associe chaque phrase interrogative à une phrase déclarative.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>

   <ol>
     <li>a. Quand la première locomotive a-t-elle été inventée ?</li>
     <li>b. Comment réagissaient les premiers voyageurs en train ?</li>
     <li>c. Quelles villes a reliées la première ligne de TGV ? 1. Ils avaient très peur de la vitesse. 2. La première ligne de train à grande vitesse a été construite entre Lyon et Paris. 3. La locomotive est une invention du xix e siècle.</li>
   </ol>

  </enonce>
<rest>

</rest>
</exercice>",Autres
"<exercice>
  <consigne>
Transforme les phrases interrogatives en phrases déclaratives.
  </consigne>
  <modele>
Le loup a-t-il rencontré le Petit Chaperon rouge ?
  </modele>
  <noteSC>
  ➞ Le loup a rencontré le Petit Chaperon rouge.
  </noteSC>
  <enonce>
    <ol>
      <li>a. Le loup a-t-il mangé la fillette ?</li>
      <li>b. N’a-t-il pas regretté ce qu’il a fait ?</li>
      <li>c. Le loup est-il un menteur ?</li>
    </ol>
  </enonce>
<rest>
</rest>
</exercice>",TransformePhrase
"<exercice>
  <consigne>
Transforme les phrases déclaratives en phrases interrogatives.
  </consigne>
  <modele>
Le loup dévore l’agneau.
  </modele>
  <noteSC>
  ➞ Est-ce que le loup dévore l’agneau ? 
  </noteSC>
  <enonce>
  <ol>
    <li>a. Le renard mange le fromage.</li>
    <li>b. La grenouille est aussi grosse que le bœuf.</li>
    <li>c. La fourmi chante comme la cigale.</li>
  </ol>
  </enonce>
<rest>
</rest>
</exercice>",TransformePhrase
"<exercice>
  <consigne>
Écris les questions que l’on a posées pour obtenir ces réponses.
  </consigne>
  <modele>

  </modele>
  <noteSC>
Chaque question commence par : Qui…
  </noteSC>
  <enonce>

   <ol>
     <li>a. Un jour mon prince viendra.</li>
     <li>b. Tu es la plus belle en ce miroir !</li>
     <li>c. Blanche-Neige croque la pomme.</li>
     <li>d. Les sept nains travaillent dans les mines.</li>
   </ol>

  </enonce>
<rest>

</rest>
</exercice>",TransformePhrase
"<exercice>
  <consigne>

  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>


  </enonce>
<rest>
À l'oral Lis ces phrases à haute voix, avec la bonne intonation, pour obtenir des phrases interrogatives. Ce paysage est beau. ➞ Ce paysage est beau ? a. Ce spectacle est beau. b. Ce personnage est amusant. c. Cette histoire est drôle.
</rest>
</exercice>",Autres
"<exercice>
  <consigne>
Écris les questions qui ont pour réponses les phrases suivantes.
  </consigne>
  <modele>

  </modele>
  <noteSC>
Elles commencent par un mot interrogatif. Pour le trouver, aide-toi des mots en gras.
  </noteSC>
  <enonce>

   <ol>
     <li>a. J’ai appris à dessiner à l’école.</li>
     <li>b. Il s’appelle Mehdi.</li>
     <li>c. Ils courent parce qu’ils sont pressés.</li>
     <li>d. Je vais à la piscine à pied.</li>
   </ol>

  </enonce>
<rest>

</rest>
</exercice>",TransformePhrase
"<exercice>
  <consigne>
À partir de cette image, écris trois phrases déclaratives et deux phrases interrogatives.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>


  </enonce>
<rest>

</rest>
</exercice>",ExpressionEcrite
"<exercice>
  <consigne>
Recopie uniquement les phrases qui sont à la forme exclamative.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>

   <ol>
     <li>a. L’histoire que tu me racontes est incroyable !</li>
     <li>b. Je n’ai jamais entendu une chose pareille.</li>
     <li>c. Tu exagères un peu !</li>
     <li>d. Ce n'est pas vrai.</li>
     <li>e. Quand as-tu appris cette nouvelle ?</li>
   </ol>

  </enonce>
<rest>

</rest>
</exercice>",CochePhrase
"<exercice>
  <consigne>
Recopie uniquement les phrases qui sont à la forme négative et entoure les marques de la négation.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>

   <ol>
     <li>a. Surtout, ne dis rien.</li>
     <li>b. Quand reviendrons-nous ?</li>
     <li>c. Je n’aime pas les épinards.</li>
     <li>d. Demain, nous irons au cinéma.</li>
     <li>e. Couvre-toi avant de sortir !</li>
     <li>f. Ne cours pas trop vite.</li>
   </ol>

  </enonce>
<rest>

</rest>
</exercice>",Autres
"<exercice>
  <consigne>
Écris ces phrases à la forme négative en utilisant ne … pas, ne … plus, ne … jamais.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>

   <ol>
     <li>a. Le pigeon roucoule.</li>
     <li>b. La pluie tombe.</li>
     <li>c. Il fait beau.</li>
     <li>d. L’étoile brille.</li>
   </ol>

  </enonce>
<rest>

</rest>
</exercice>",TransformePhrase
"<exercice>
  <consigne>
Complète les phrases à la forme négative avec les petits mots de la liste.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>
ne … pas ◆ ne … jamais ◆ n’… rien ◆ ne … plus
   <ol>
     <li>a. Il a voulu faire l’exercice, mais il … a … compris.</li>
     <li>b. Il … faut … entrer sans frapper.</li>
     <li>c. Maintenant qu’il … pleut …, nous pouvons aller nous baigner.</li>
     <li>d. Le renard … peut … jouer avec le Petit Prince.</li>
   </ol>

  </enonce>
<rest>

</rest>
</exercice>",RC
"<exercice>
  <consigne>
Complète les phrases avec les mots de négation qui manquent : n’, ne, ni.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>

   <ol>
     <li>a. En centre-ville, on … trouve … voitures … bâtiments récents.</li>
     <li>b. Ce quartier … a pas été rénové.</li>
     <li>c. Les immeubles … sont pas restaurés.</li>
     <li>d. Il …y a pas beaucoup d’arbres dans cette ville.</li>
   </ol>

  </enonce>
<rest>

</rest>
</exercice>",CM
"<exercice>
  <consigne>
Réponds négativement en employant la double négation ni … ni.
  </consigne>
  <modele>
Aimes-tu le chou-fleur et les épinards ?
  </modele>
  <noteSC>
  ➞ Je n’aime ni le chou-fleur ni les épinards. 
  </noteSC>
  <enonce>
    <ol>
      <li>a. Vas-tu à l’école en patins ou à vélo ?</li>
      <li>b. As-tu lu Harry Potter et Charlie et la chocolaterie ?</li>
      <li>c. Prends-tu du thé ou du chocolat pour le petit-déjeuner ?</li>
    </ol>
  </enonce>
<rest>
</rest>
</exercice>",TransformePhrase
"<exercice>
  <consigne>
Écris ces phrases à la forme négative.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>

   <ol>
     <li>a. C’est un champion.</li>
     <li>b. Il respecte les règles du jeu.</li>
     <li>c. Mais oui, je le reconnais !</li>
     <li>d. Alex comprend Max.</li>
     <li>e. Imite-le !</li>
   </ol>

  </enonce>
<rest>

</rest>
</exercice>",TransformePhrase
"<exercice>
  <consigne>
Écris ces phrases à la forme négative.
  </consigne>
  <modele>
Sais-tu comment il s’appelle ?
  </modele>
  <noteSC>
  ➞ Ne sais-tu pas comment il s’appelle ? 
  </noteSC>
  <enonce>
    <ol>
      <li>a. Le reconnais-tu ?</li>
      <li>b. Habite-t-il en ville ?</li>
      <li>c. Viens-tu demain ?</li>
      <li>d. Avez-vous froid ?</li>
    </ol>
  </enonce>
<rest>
</rest>
</exercice>",TransformePhrase
"<exercice>
  <consigne>
Écris ces phrases à la forme négative.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>

   <ol>
     <li>a. Les pneus sont bien gonflés.</li>
     <li>b. Les chromes du parechoc brillent au soleil.</li>
     <li>c. Les sièges sont confortables.</li>
     <li>d. Les phares éclairent bien.</li>
     <li>e. Les clignotants fonctionnent.</li>
     <li>f. La voiture est bien entretenue.</li>
   </ol>

  </enonce>
<rest>

</rest>
</exercice>",TransformePhrase
"<exercice>
  <consigne>

  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>


  </enonce>
<rest>
À l'oral Avec un camarade, présentez la signification de chaque panneau au reste de la classe. Pourquoi ces phrases ne sont-elles pas correctes à l’écrit ? a. C’est pas moi ! c. Fais pas ça ! b. J’y vois rien ! d. J’ai jamais vu ça.
</rest>
</exercice>",RCImage
"<exercice>
  <consigne>
Écris le règlement de l’école en utilisant deux colonnes : une colonne pour les phrases à la forme affirmative, une autre pour les phrases à la forme négative.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>


  </enonce>
<rest>

</rest>
</exercice>",ExpressionEcrite
"<exercice>
  <consigne>
Recopie tous les déterminants de ce texte.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>
Une éolienne est une centrale électrique comme toutes les autres : une turbine (l’hélice) est mise en rotation par le vent ; elle est couplée à un alternateur qui produit de l’électricité.

  </enonce>
<rest>

</rest>
</exercice>",CocheMots
"<exercice>
  <consigne>
Recopie les noms et les verbes de ce texte.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>
En 1973, les pays producteurs de pétrole décident brusquement de limiter leur production. Le prix du pétrole s’envole : c’est le premier choc pétrolier. Le gouvernement français lance la construction de 7 centrales nucléaires pour remplacer les centrales électriques classiques.

  </enonce>
<rest>

</rest>
</exercice>",CocheMots
"<exercice>
  <consigne>
Indique à quelle classe grammaticale appartiennent ces mots.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>
ouverture ◆ énorme ◆ un ◆ dormir ◆ téléviseur ◆ être ◆ écouter ◆ chameau ◆ somptueux ◆ magique ◆ chat ◆ magnifique ◆ travailler ◆ manger ◆ voiture

  </enonce>
<rest>

</rest>
</exercice>",TransformeMot
"<exercice>
  <consigne>
Complète chacune de ces phrases avec un adjectif.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>

   <ol>
     <li>a. Ce nouveau canapé est très … .</li>
     <li>b. Le TGV est le train le plus … de France.</li>
     <li>c. Ce serpent est très … .</li>
     <li>d. J’apprécie beaucoup mon … appartement.</li>
     <li>e. Cet enfant semble … .</li>
   </ol>

  </enonce>
<rest>

</rest>
</exercice>",RC
"<exercice>
  <consigne>
Trouve le verbe qui correspond à chacun de ces noms.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>

   <ol>
     <li>a. la baignade</li>
     <li>b. le rugissement</li>
     <li>c. la vente</li>
     <li>d. le chant</li>
   </ol>

  </enonce>
<rest>

</rest>
</exercice>",TransformeMot
"<exercice>
  <consigne>
Lis le texte et indique le nombre de phrases qui le composent.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>
Les Antilles (Guadeloupe, Martinique), la Polynésie, la Réunion ou encore la Nouvelle- Calédonie sont des îles tropicales. Leur climat se caractérise par une chaleur importante toute l’année et par l’existence de deux saisons : une saison sèche et une saison humide.

  </enonce>
<rest>

</rest>
</exercice>",Autres
"<exercice>
  <consigne>
Remets en ordre les groupes de mots pour faire des phrases. Ajoute les majuscules et les points.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>

   <ol>
     <li>a. la côte ouest ◆ de ces îles ◆ on distingue ◆ et la côte est</li>
     <li>b. en ouest ◆ soufflent ◆ les vents ◆ d’est</li>
     <li>c. subissent régulièrement ◆ ces îles ◆ des tempêtes tropicales</li>
   </ol>

  </enonce>
<rest>

</rest>
</exercice>",Autres
"<exercice>
  <consigne>
Rétablis la ponctuation et les majuscules pour former plusieurs phrases.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>
Margot entend le réveil sonner elle ferme les yeux et se rendort c’est alors que la porte s’ouvre la maman de Margot crie debout Margot c’est l’heure d’aller à l’école

  </enonce>
<rest>

</rest>
</exercice>",EditPhrase
"<exercice>
  <consigne>
Écris ces phrases en les terminant par un point (.), un point d’interrogation (?) ou un point d’exclamation (!).
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>

   <ol>
     <li>a. Il sonne à la porte et entre</li>
     <li>b. Entrez ou sortez, mais fermez la porte</li>
     <li>c. Vous pouvez colorier avec vos feutres et vos crayons de couleur</li>
     <li>d. Comment parviens-tu à regarder la télévision et ton ordinateur en même temps</li>
     <li>e. Quel sport combine une épreuve de ski et une épreuve de tir à la carabine</li>
   </ol>

  </enonce>
<rest>

</rest>
</exercice>",CM
"<exercice>
  <consigne>
Complète la fin de chaque phrase avec le verbe qui convient.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>
ordonne-t-il. s’étonne-t-il. demanda-t-il.
   <ol>
     <li>a. Pourquoi pars-tu si tôt ? …</li>
     <li>b. Les horaires des trains ont changé, …</li>
     <li>c. Ouvre la fenêtre ! …</li>
   </ol>

  </enonce>
<rest>

</rest>
</exercice>",CM
"<exercice>
  <consigne>
Classe les phrases de ce texte dans le tableau. phrases déclaratives
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>


  </enonce>
<rest>

</rest>
</exercice>",Classe
"<exercice>
  <consigne>
Écris les questions que l’on a posées pour obtenir ces réponses.
  </consigne>
  <modele>

  </modele>
  <noteSC>

  </noteSC>
  <enonce>

   <ol>
     <li>a. Anicet vient d’avoir 8 ans.</li>
     <li>b. Notre train part à 7h30 demain matin.</li>
     <li>c. Non, je n’irai pas au cinéma avec toi.</li>
     <li>d. J’adore mon nouveau jeu vidéo.</li>
   </ol>

  </enonce>
<rest>

</rest>
</exercice>",TransformePhrase
